what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1314686602563
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1314686602650
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1314686602806
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1314686602962
started,bundle,org.eclipse.mylyn.github.ui,1.0.0.201106220257-r,"org.eclipse.mylyn.github.ui",1314686603060
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1314686603106
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1314686603341
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1314686603341
started,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1314686603508
started,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1314686603540
started,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1314686603656
started,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1314686603691
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1314686603704
os,sysinfo,,,"macosx",1314686603709
arch,sysinfo,,,"x86",1314686603709
ws,sysinfo,,,"cocoa",1314686603709
locale,sysinfo,,,"en_US",1314686603709
processors,sysinfo,,,"2",1314686603709
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314686603709
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1314686603709
java.specification.name,sysinfo,,,"Java Platform API Specification",1314686603709
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314686603709
java.specification.version,sysinfo,,,"1.6",1314686603709
